dataset,origin,Random,Saliency,GuidedBackprop,GI,DeepLift,DeepLiftShap,attn,rollout,EXITT,origin_1,Random_1,Saliency_1,GuidedBackprop_1,GI_1,DeepLift_1,DeepLiftShap_1,attn_1,rollout_1,EXITT_1,origin_2,Random_2,Saliency_2,GuidedBackprop_2,GI_2,DeepLift_2,DeepLiftShap_2,attn_2,rollout_2,EXITT_2
InsectEPGRegularTrain,0.831,0.795,0.474,0.831,0.474,0.831,0.831,0.831,0.831,0.474,0.8313253012048193,0.7911646586345381,0.4738955823293173,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.4738955823293173,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193
InsectEPGSmallTrain,1.0,0.482,0.169,0.169,0.169,0.169,1.0,0.526,0.169,0.173,0.9076305220883534,0.5261044176706827,0.5261044176706827,0.5261044176706827,0.5261044176706827,0.5261044176706827,0.9076305220883534,0.5261044176706827,0.5261044176706827,0.5220883534136547,1.0,0.5261044176706827,0.5261044176706827,0.5261044176706827,0.5261044176706827,0.5261044176706827,1.0,0.5261044176706827,0.5261044176706827,0.5261044176706827
InsectWingbeatSound,0.646,0.631,0.537,0.599,0.341,0.331,0.646,0.48,0.385,0.171,0.5974747474747475,0.5833333333333334,0.5060606060606061,0.6313131313131313,0.2686868686868687,0.2580808080808081,0.5974747474747475,0.4808080808080808,0.5181818181818182,0.2323232323232323,0.5974747474747475,0.5590909090909091,0.397979797979798,0.5363636363636364,0.2207070707070707,0.1797979797979798,0.5974747474747475,0.3853535353535353,0.2055555555555555,0.1277777777777777
ItalyPowerDemand,0.97,0.911,0.548,0.49,0.44,0.442,0.97,0.708,0.505,0.414,0.9271137026239068,0.8571428571428571,0.5830903790087464,0.4441205053449951,0.379980563654033,0.379980563654033,0.9271137026239068,0.6064139941690962,0.521865889212828,0.3605442176870748,0.9222546161321672,0.8445092322643343,0.5082604470359572,0.4936831875607386,0.4178814382896015,0.4188532555879494,0.9222546161321672,0.8182701652089407,0.7677356656948494,0.412050534499514
LargeKitchenAppliances,0.696,0.635,0.512,0.64,0.291,0.256,0.256,0.461,0.36,0.227,0.6693333333333333,0.6213333333333333,0.4746666666666667,0.5626666666666666,0.2773333333333333,0.248,0.248,0.384,0.3706666666666666,0.2986666666666667,0.648,0.6426666666666667,0.5626666666666666,0.552,0.2933333333333333,0.2373333333333333,0.2373333333333333,0.3706666666666666,0.3706666666666666,0.304
Lightning2,0.82,0.787,0.656,0.803,0.475,0.508,0.508,0.689,0.656,0.573,0.7704918032786885,0.7704918032786885,0.6557377049180327,0.7704918032786885,0.5245901639344263,0.5409836065573771,0.5409836065573771,0.6721311475409836,0.6721311475409836,0.4590163934426229,0.7868852459016393,0.6885245901639344,0.5409836065573771,0.7377049180327869,0.4426229508196721,0.4262295081967213,0.4262295081967213,0.639344262295082,0.639344262295082,0.4262295081967213
Lightning7,0.74,0.644,0.233,0.521,0.301,0.164,0.74,0.274,0.274,0.137,0.7123287671232876,0.6986301369863014,0.3835616438356164,0.6027397260273972,0.2054794520547945,0.1643835616438356,0.7123287671232876,0.2465753424657534,0.2191780821917808,0.0684931506849315,0.6986301369863014,0.6575342465753424,0.4520547945205479,0.4931506849315068,0.2191780821917808,0.1643835616438356,0.6986301369863014,0.5616438356164384,0.4931506849315068,0.2054794520547945
MedicalImages,0.754,0.697,0.576,0.696,0.466,0.448,0.445,0.542,0.568,0.429,0.7065789473684211,0.675,0.5447368421052632,0.6552631578947369,0.4618421052631579,0.4552631578947368,0.4552631578947368,0.5802631578947368,0.5710526315789474,0.4355263157894737,0.7078947368421052,0.6684210526315789,0.5960526315789474,0.6671052631578948,0.4526315789473684,0.4328947368421053,0.4328947368421053,0.5302631578947369,0.5328947368421053,0.4434210526315789
MelbournePedestrian,0.937,0.734,0.695,0.706,0.648,0.599,0.599,0.649,0.664,0.49,0.8876588765887659,0.7277572775727758,0.6744567445674456,0.6449364493644937,0.6576465764657646,0.5740057400574006,0.5740057400574006,0.7236572365723657,0.6236162361623616,0.4772447724477244,0.8872488724887249,0.6461664616646167,0.6486264862648626,0.6359163591635917,0.5822058220582206,0.4501845018450184,0.4501845018450184,0.6986469864698647,0.5854858548585485,0.3763837638376384
MiddlePhalanxOutlineAgeGroup,0.662,0.669,0.591,0.682,0.468,0.481,0.481,0.578,0.558,0.5,0.6363636363636364,0.6233766233766234,0.5714285714285714,0.6428571428571429,0.4935064935064935,0.512987012987013,0.512987012987013,0.6038,0.5844155844155844,0.4935064935064935,0.6168831168831169,0.6038961038961039,0.5714285714285714,0.6233766233766234,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.6168831168831169,0.6103896103896104,0.5454545454545454
MiddlePhalanxOutlineCorrect,0.842,0.787,0.608,0.814,0.22,0.223,0.223,0.766,0.718,0.402,0.7972508591065293,0.7560137457044673,0.584192439862543,0.852233676975945,0.3367697594501718,0.3470790378006873,0.3470790378006873,0.7525773195876289,0.7147766323024055,0.3917525773195876,0.7972508591065293,0.7628865979381443,0.563573883161512,0.8178694158075601,0.3436426116838488,0.3470790378006873,0.3470790378006873,0.7663230240549829,0.7319587628865979,0.4020618556701031
MiddlePhalanxTW,0.61,0.526,0.169,0.292,0.396,0.136,0.136,0.603,0.617,0.195,0.5714285714285714,0.5064935064935064,0.1493506493506493,0.3376623376623376,0.3051948051948052,0.1623376623376623,0.1623376623376623,0.564935064935065,0.564935064935065,0.0714285714285714,0.5714285714285714,0.5324675324675324,0.1493506493506493,0.3311688311688311,0.2987012987012987,0.0194805194805194,0.0194805194805194,0.3246753246753247,0.2922077922077922,0.0324675324675324
MoteStrain,0.878,0.872,0.582,0.899,0.736,0.676,0.676,0.827,0.795,0.392,0.8282747603833865,0.797923322683706,0.4712460063897764,0.7268370607028753,0.6781150159744409,0.6198083067092651,0.6198083067092651,0.7795527156549521,0.7875399361022364,0.3618210862619808,0.8282747603833865,0.8075079872204473,0.7811501597444089,0.8538338658146964,0.652555910543131,0.6078274760383386,0.6078274760383386,0.6845047923322684,0.713258785942492,0.3434504792332268
OSULeaf,0.599,0.496,0.252,0.289,0.074,0.074,0.074,0.417,0.355,0.074,0.5495867768595041,0.5165289256198347,0.2066115702479339,0.4132231404958678,0.2396694214876033,0.2438016528925619,0.2438016528925619,0.5165289256198347,0.5206611570247934,0.140495867768595,0.5495867768595041,0.5206611570247934,0.3223140495867768,0.3223140495867768,0.1239669421487603,0.0991735537190082,0.0991735537190082,0.3801652892561983,0.371900826446281,0.0702479338842975
PhalangesOutlinesCorrect,0.83,0.73,0.596,0.614,0.332,0.333,0.333,0.645,0.634,0.383,0.7878787878787878,0.5955710955710956,0.4685314685314685,0.5361305361305362,0.2925407925407925,0.296037296037296,0.296037296037296,0.4965034965034965,0.4137529137529137,0.3671328671328671,0.782051282051282,0.6386946386946387,0.5093240093240093,0.583916083916084,0.2972027972027972,0.2867132867132867,0.2867132867132867,0.5326340326340326,0.4592074592074592,0.3659673659673659
Plane,1.0,0.895,0.171,0.495,0.238,0.162,1.0,0.295,0.314,0.076,0.9714285714285714,0.8952380952380953,0.1904761904761904,0.2,0.2476190476190476,0.1619047619047619,0.9714285714285714,0.2,0.3619047619047619,0.1619047619047619,0.9523809523809524,0.8666666666666667,0.1714285714285714,0.4571428571428571,0.2761904761904762,0.2,0.9523809523809524,0.5714285714285714,0.1619047619047619,0.1619047619047619
PowerCons,1.0,1.0,0.9,0.917,0.7,0.65,0.650,0.75,0.744,0.644,0.95,0.9444444444444444,0.8111111111111111,0.8,0.6555555555555556,0.6555555555555556,0.6555555555555556,0.7166666666666667,0.7222222222222222,0.6888888888888889,0.95,0.95,0.8888888888888888,0.9166666666666666,0.7166666666666667,0.7111111111111111,0.7111111111111111,0.7888888888888889,0.8277777777777777,0.6833333333333333
ProximalPhalanxOutlineAgeGroup,0.883,0.815,0.429,0.883,0.4,0.405,0.405,0.873,0.878,0.371,0.8536585365853658,0.8,0.4292682926829268,0.8829268292682927,0.4,0.4,0.4,0.551219512195122,0.5170731707317073,0.4,0.8439024390243902,0.824390243902439,0.4292682926829268,0.8682926829268293,0.3170731707317073,0.3268292682926829,0.3268292682926829,0.5170731707317073,0.424390243902439,0.3512195121951219
ProximalPhalanxOutlineCorrect,0.893,0.825,0.629,0.742,0.409,0.474,0.474,0.704,0.625,0.447,0.865979381443299,0.845360824742268,0.6529209621993127,0.6597938144329897,0.6357388316151202,0.6254295532646048,0.6254295532646048,0.7010309278350515,0.7010309278350515,0.872852233676976,0.845360824742268,0.8281786941580757,0.7010309278350515,0.5223367697594502,0.6907216494845361,0.6529209621993127,0.6529209621993127,0.6701030927835051,0.718213058419244,0.9381443298969072
ProximalPhalanxTW,0.815,0.727,0.107,0.337,0.498,0.566,0.566,0.663,0.415,0.088,0.7707317073170732,0.7024390243902439,0.2195121951219512,0.4097560975609756,0.4585365853658537,0.1609756097560975,0.1609756097560975,0.4,0.5853658536585366,0.0780487804878048,0.7853658536585366,0.7414634146341463,0.2,0.4634146341463415,0.4829268292682926,0.1414634146341463,0.1414634146341463,0.7658536585365854,0.775609756097561,0.1121951219512195
RefrigerationDevices,0.579,0.592,0.523,0.595,0.387,0.376,0.376,0.48,0.507,0.317,0.5386666666666666,0.48,0.5786666666666667,0.4826666666666667,0.5013333333333333,0.488,0.488,0.4906666666666666,0.48,0.4266666666666667,0.5306666666666666,0.5253333333333333,0.4933333333333333,0.64,0.384,0.3413333333333333,0.3413333333333333,0.5013333333333333,0.5333333333333333,0.3813333333333333
ShapeletSim,0.533,0.478,0.494,0.439,0.311,0.206,0.206,0.522,0.511,0.289,0.4944444444444444,0.4611111111111111,0.4944444444444444,0.5333333333333333,0.4833333333333333,0.3666666666666666,0.3666666666666666,0.4555555555555555,0.4722222222222222,0.4222222222222222,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
ShapesAll,0.745,0.695,0.278,0.517,0.285,0.235,0.745,0.587,0.492,0.202,0.7016666666666667,0.675,0.2416666666666666,0.4616666666666666,0.2716666666666666,0.2083333333333333,0.7016666666666667,0.6416666666666667,0.5516666666666666,0.1466666666666666,0.7033333333333334,0.5466666666666666,0.2283333333333333,0.41,0.2916666666666667,0.2483333333333333,0.7033333333333334,0.6083333333333333,0.4566666666666666,0.1716666666666666
SmallKitchenAppliances,0.741,0.728,0.624,0.493,0.411,0.397,0.397,0.347,0.341,0.344,0.696,0.6826666666666666,0.6746666666666666,0.5066666666666667,0.3733333333333333,0.3493333333333333,0.3493333333333333,0.3386666666666666,0.3386666666666666,0.2773333333333333,0.6933333333333334,0.6613333333333333,0.6266666666666667,0.5546666666666666,0.3653333333333333,0.336,0.336,0.344,0.3413333333333333,0.2613333333333333
SmoothSubspace,0.993,0.907,0.726,0.733,0.627,0.593,0.593,0.907,0.913,0.567,0.9466666666666668,0.82,0.58,0.6,0.5066666666666667,0.4933333333333333,0.4933333333333333,0.84,0.8533333333333334,0.5133333333333333,0.9466666666666668,0.9,0.62,0.6666666666666666,0.5466666666666666,0.4866666666666667,0.4866666666666667,0.8533333333333334,0.8533333333333334,0.48
SonyAIBORobotSurface1,0.827,0.824,0.81,0.461,0.202,0.151,0.827,0.569,0.571,0.501,0.7820299500831946,0.7770382695507487,0.4891846921797005,0.4792013311148086,0.3094841930116472,0.2645590682196339,0.7820299500831946,0.5008319467554077,0.562396006655574,0.2828618968386023,0.7870216306156406,0.7554076539101497,0.7720465890183028,0.6688851913477537,0.3444259567387687,0.2995008319467554,0.7870216306156406,0.6838602329450915,0.64891846921797,0.1763727121464226
SonyAIBORobotSurface2,0.832,0.824,0.773,0.814,0.577,0.527,0.527,0.786,0.788,0.5,0.7838405036726128,0.7565582371458552,0.5351521511017838,0.7848898216159497,0.5487932843651626,0.359916054564533,0.359916054564533,0.7481636935991606,0.7555089192025184,0.2581322140608604,0.7943336831059811,0.7743966421825813,0.5603357817418678,0.4742917103882476,0.5372507869884575,0.3273871983210913,0.3273871983210913,0.7555089192025184,0.7712486883525709,0.3347324239244491
Strawberry,0.97,0.889,0.735,0.868,0.47,0.473,0.473,0.435,0.643,0.595,0.927027027027027,0.8378378378378378,0.6783783783783783,0.8810810810810811,0.5351351351351351,0.5243243243243243,0.5243243243243243,0.7081081081081081,0.772972972972973,0.6459459459459459,0.927027027027027,0.8810810810810811,0.6432432432432432,0.6891891891891891,0.4351351351351351,0.4351351351351351,0.4351351351351351,0.6432432432432432,0.5891891891891892,0.5162162162162162
SwedishLeaf,0.898,0.571,0.246,0.48,0.344,0.235,0.235,0.528,0.341,0.141,0.8592,0.7584,0.2592,0.3456,0.2864,0.3744,0.3744,0.3008,0.2128,0.088,0.848,0.7728,0.2752,0.4288,0.192,0.2432,0.2432,0.5312,0.4048,0.0976
Symbols,0.88,0.841,0.453,0.667,0.544,0.209,0.88,0.466,0.56,0.345,0.8311557788944723,0.7688442211055276,0.4381909547738693,0.742713567839196,0.5577889447236181,0.2834170854271357,0.8311557788944723,0.450251256281407,0.549748743718593,0.2804020100502513,0.8442211055276382,0.7949748743718593,0.3346733668341708,0.7306532663316583,0.6522613065326633,0.3939698492462311,0.8442211055276382,0.721608040201005,0.7105527638190955,0.314572864321608
SyntheticControl,1.0,0.957,0.83,0.913,0.783,0.743,0.743,0.76,0.74,0.613,0.95,0.92,0.6666666666666666,0.7933333333333333,0.6233333333333333,0.65,0.65,0.73,0.71,0.5433333333333333,0.9533333333333334,0.9233333333333332,0.7,0.8533333333333334,0.6333333333333333,0.5633333333333334,0.5633333333333334,0.69,0.7233333333333334,0.46
ToeSegmentation1,0.741,0.711,0.575,0.759,0.342,0.329,0.329,0.561,0.566,0.294,0.7105263157894737,0.7105263157894737,0.7149122807017544,0.5570175438596491,0.1973684210526315,0.1535087719298245,0.1535087719298245,0.5307017543859649,0.5263157894736842,0.1885964912280701,0.6973684210526315,0.6842105263157895,0.6140350877192983,0.7850877192982456,0.1184210526315789,0.0921052631578947,0.0921052631578947,0.5175438596491229,0.5087719298245614,0.0614035087719298
ToeSegmentation2,0.815,0.815,0.815,0.815,0.815,0.815,0.815,0.815,0.815,0.815,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154
Trace,1.0,0.95,0.46,0.62,0.57,0.83,0.830,0.51,0.43,0.44,0.97,0.95,0.62,0.91,0.9,0.87,0.87,0.49,0.49,0.57,0.99,0.95,0.71,0.86,0.78,0.67,0.67,0.67,0.71,0.35
TwoPatterns,1.0,0.995,0.914,0.948,0.474,0.194,0.194,0.667,0.741,0.378,0.96975,0.97025,0.8505,0.87125,0.3145,0.2185,0.2185,0.59675,0.59875,0.30025,0.968,0.967,0.85675,0.837,0.2315,0.0995,0.0995,0.63225,0.7105,0.27125
UMD,1.0,0.993,0.861,0.861,0.785,0.743,0.743,0.66,0.646,0.5,0.9722222222222222,0.9791666666666666,0.8819444444444444,0.875,0.7638888888888888,0.75,0.75,0.7013888888888888,0.6944444444444444,0.5555555555555556,0.9652777777777778,0.9513888888888888,0.9236111111111112,0.9861111111111112,0.7986111111111112,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.6111111111111112,0.6180555555555556
Wine,0.5,0.537,0.5,1.0,0.0,0.0,0.000,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
WordSynonyms,0.602,0.555,0.223,0.412,0.245,0.176,0.176,0.459,0.368,0.085,0.5564263322884012,0.5376175548589341,0.3322884012539185,0.5078369905956113,0.2460815047021943,0.238244514106583,0.238244514106583,0.3338557993730408,0.3620689655172414,0.1786833855799373,0.5579937304075235,0.5266457680250783,0.2899686520376175,0.4827586206896552,0.1974921630094044,0.1865203761755486,0.1865203761755486,0.2884012539184953,0.3103448275862069,0.0971786833855799
Worms,0.532,0.494,0.403,0.455,0.286,0.208,0.208,0.429,0.078,0.312,0.5064935064935064,0.4935064935064935,0.4415584415584415,0.4025974025974026,0.2597402597402597,0.2597402597402597,0.2597402597402597,0.4155844155844156,0.3766233766233766,0.3376623376623376,0.4935064935064935,0.5064935064935064,0.4155844155844156,0.4155844155844156,0.1948051948051948,0.1948051948051948,0.1948051948051948,0.4025974025974026,0.4415584415584415,0.2337662337662337
