dataset,origin_x,Random_x,Saliency_x,GuidedBackprop_x,GI_x,DeepLift_x,DeepLiftShap_x,attn_x,rollout_x,EXITT_x,origin_y,Random_y,Saliency_y,GuidedBackprop_y,GI_y,DeepLift_y,DeepLiftShap_y,attn_y,rollout_y,EXITT_y,origin,Random,Saliency,GuidedBackprop,GI,DeepLift,DeepLiftShap,attn,rollout,EXITT
InsectEPGRegularTrain,0.831,0.735,0.474,0.831,0.474,0.831,0.831,0.831,0.474,0.474,0.8313253012048193,0.6104417670682731,0.4738955823293173,0.4738955823293173,0.4738955823293173,0.4738955823293173,0.8313253012048193,0.8313253012048193,0.4738955823293173,0.4738955823293173,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193
InsectEPGSmallTrain,1.0,0.402,0.169,0.169,0.526,0.169,1.0,0.526,0.169,0.173,0.9076305220883534,0.5261044176706827,0.5261044176706827,0.5261044176706827,0.5261044176706827,0.5261044176706827,0.9076305220883534,0.5261044176706827,0.5261044176706827,0.5220883534136547,1.0,0.5261044176706827,0.5261044176706827,0.5261044176706827,0.5261044176706827,0.5261044176706827,1.0,0.5261044176706827,0.5261044176706827,0.5261044176706827
InsectWingbeatSound,0.646,0.594,0.458,0.535,0.274,0.25,0.646,0.331,0.199,0.056,0.5974747474747475,0.5404040404040404,0.4272727272727272,0.5555555555555556,0.2075757575757575,0.1742424242424242,0.5974747474747475,0.3363636363636363,0.3419191919191919,0.1085858585858585,0.5974747474747475,0.5116161616161616,0.348989898989899,0.4974747474747474,0.1752525252525252,0.1267676767676767,0.5974747474747475,0.2606060606060606,0.1176767676767676,0.0904040404040404
ItalyPowerDemand,0.97,0.848,0.53,0.468,0.413,0.416,0.97,0.554,0.511,0.348,0.9271137026239068,0.7793974732750243,0.5043731778425656,0.4101068999028183,0.3177842565597668,0.314868804664723,0.9271137026239068,0.5889212827988338,0.5296404275996113,0.2458697764820213,0.9222546161321672,0.7978620019436345,0.5014577259475219,0.4936831875607386,0.2915451895043732,0.26044703595724,0.9222546161321672,0.6763848396501457,0.706511175898931,0.2293488824101069
LargeKitchenAppliances,0.696,0.568,0.413,0.536,0.269,0.235,0.235,0.36,0.333,0.229,0.6693333333333333,0.5093333333333333,0.456,0.4293333333333333,0.264,0.2533333333333333,0.2533333333333333,0.3386666666666666,0.3333333333333333,0.3093333333333333,0.648,0.5733333333333334,0.488,0.3973333333333333,0.272,0.232,0.232,0.336,0.3333333333333333,0.3066666666666666
Lightning2,0.82,0.672,0.59,0.754,0.377,0.361,0.361,0.59,0.59,0.41,0.7704918032786885,0.6721311475409836,0.6065573770491803,0.6721311475409836,0.4754098360655737,0.4590163934426229,0.4590163934426229,0.6229508196721312,0.6229508196721312,0.4262295081967213,0.7868852459016393,0.639344262295082,0.5409836065573771,0.7049180327868853,0.4262295081967213,0.4098360655737705,0.4098360655737705,0.5081967213114754,0.6065573770491803,0.4262295081967213
Lightning7,0.74,0.479,0.178,0.356,0.233,0.11,0.74,0.164,0.137,0.096,0.7123287671232876,0.4931506849315068,0.3150684931506849,0.4657534246575342,0.1506849315068493,0.0958904109589041,0.7123287671232876,0.0958904109589041,0.0958904109589041,0.0410958904109589,0.6986301369863014,0.5068493150684932,0.3561643835616438,0.3698630136986301,0.1917808219178082,0.0958904109589041,0.6986301369863014,0.3835616438356164,0.1506849315068493,0.0547945205479452
MedicalImages,0.754,0.626,0.545,0.658,0.417,0.393,0.393,0.454,0.461,0.339,0.7065789473684211,0.5881578947368421,0.525,0.5973684210526315,0.4092105263157894,0.3973684210526316,0.3973684210526316,0.5184210526315789,0.5092105263157894,0.4052631578947368,0.7078947368421052,0.5947368421052631,0.5526315789473685,0.6263157894736842,0.3907894736842105,0.3815789473684211,0.3815789473684211,0.5157894736842106,0.5144736842105263,0.4276315789473684
MelbournePedestrian,0.937,0.634,0.517,0.585,0.558,0.472,0.472,0.509,0.391,0.23,0.8876588765887659,0.6273062730627307,0.5653956539565396,0.5264452644526445,0.5658056580565806,0.4206642066420664,0.4206642066420664,0.4419844198441984,0.3763837638376384,0.2632226322263222,0.8872488724887249,0.5207052070520706,0.4678146781467814,0.4911849118491185,0.3944239442394424,0.2398523985239852,0.2398523985239852,0.3817138171381714,0.3456334563345633,0.1443214432144321
MiddlePhalanxOutlineAgeGroup,0.662,0.63,0.539,0.675,0.448,0.461,0.461,0.571,0.584,0.162,0.6363636363636364,0.5974025974025974,0.5714285714285714,0.6233766233766234,0.1818181818181818,0.2337662337662337,0.2337662337662337,0.3181818181818182,0.3571428571428571,0.1298701298701298,0.6168831168831169,0.6298701298701299,0.5714285714285714,0.6233766233766234,0.3896103896103896,0.3636363636363636,0.3636363636363636,0.435064935064935,0.5,0.3701298701298701
MiddlePhalanxOutlineCorrect,0.842,0.715,0.57,0.849,0.031,0.031,0.031,0.553,0.574,0.357,0.7972508591065293,0.6872852233676976,0.5670103092783505,0.8419243986254296,0.2371134020618556,0.2371134020618556,0.2371134020618556,0.6288659793814433,0.6219931271477663,0.1099656357388316,0.7972508591065293,0.697594501718213,0.570446735395189,0.7663230240549829,0.2268041237113402,0.2268041237113402,0.2268041237113402,0.6185567010309279,0.6701030927835051,0.2371134020618556
MiddlePhalanxTW,0.61,0.448,0.162,0.312,0.357,0.097,0.097,0.578,0.61,0.143,0.5714285714285714,0.4155844155844156,0.1493506493506493,0.3311688311688311,0.2662337662337662,0.1038961038961039,0.1038961038961039,0.5454545454545454,0.2792207792207792,0.0,0.5714285714285714,0.4155844155844156,0.1493506493506493,0.3246753246753247,0.2987012987012987,0.0064935064935064,0.0064935064935064,0.2727272727272727,0.2727272727272727,0.0064935064935064
MoteStrain,0.878,0.871,0.6,0.881,0.665,0.573,0.573,0.803,0.776,0.385,0.8282747603833865,0.7364217252396166,0.487220447284345,0.7236421725239617,0.6549520766773163,0.5830670926517572,0.5830670926517572,0.7060702875399361,0.7068690095846646,0.3394568690095846,0.8282747603833865,0.8099041533546326,0.6757188498402555,0.8522364217252396,0.4864217252396166,0.4361022364217252,0.4361022364217252,0.5151757188498403,0.5942492012779552,0.1022364217252396
OSULeaf,0.599,0.393,0.198,0.219,0.062,0.054,0.054,0.227,0.244,0.033,0.5495867768595041,0.384297520661157,0.1611570247933884,0.3388429752066115,0.128099173553719,0.1033057851239669,0.1033057851239669,0.2520661157024793,0.3181818181818182,0.0661157024793388,0.5495867768595041,0.396694214876033,0.1694214876033057,0.2066115702479339,0.0785123966942148,0.0537190082644628,0.0537190082644628,0.2314049586776859,0.1735537190082644,0.0495867768595041
PhalangesOutlinesCorrect,0.83,0.626,0.464,0.507,0.286,0.287,0.287,0.455,0.43,0.381,0.7878787878787878,0.4662004662004662,0.4032634032634032,0.4883449883449883,0.3228438228438228,0.3146853146853147,0.3146853146853147,0.3881118881118881,0.3904428904428904,0.3846153846153846,0.782051282051282,0.5303030303030303,0.4685314685314685,0.4498834498834498,0.2517482517482518,0.2424242424242424,0.2424242424242424,0.4358974358974359,0.4219114219114219,0.3566433566433566
Plane,1.0,0.705,0.162,0.41,0.21,0.162,1.0,0.105,0.019,0.0,0.9714285714285714,0.7523809523809524,0.1619047619047619,0.2,0.2285714285714285,0.1619047619047619,0.9714285714285714,0.1619047619047619,0.1619047619047619,0.1619047619047619,0.9523809523809524,0.7142857142857143,0.1619047619047619,0.3238095238095238,0.1904761904761904,0.1142857142857142,0.9523809523809524,0.1619047619047619,0.1619047619047619,0.019047619047619
PowerCons,1.0,1.0,0.817,0.828,0.511,0.428,0.428,0.55,0.55,0.417,0.95,0.9444444444444444,0.7166666666666667,0.65,0.4388888888888889,0.4333333333333333,0.4333333333333333,0.5777777777777777,0.5777777777777777,0.4055555555555555,0.95,0.9444444444444444,0.8888888888888888,0.9055555555555556,0.4444444444444444,0.4166666666666667,0.4166666666666667,0.7166666666666667,0.7888888888888889,0.3722222222222222
ProximalPhalanxOutlineAgeGroup,0.883,0.746,0.429,0.893,0.317,0.298,0.298,0.829,0.834,0.283,0.8536585365853658,0.697560975609756,0.4292682926829268,0.4292682926829268,0.4,0.4,0.4,0.4292682926829268,0.4292682926829268,0.4146341463414634,0.8439024390243902,0.7268292682926829,0.4292682926829268,0.8682926829268293,0.0926829268292682,0.1512195121951219,0.1512195121951219,0.2975609756097561,0.4048780487804878,0.0195121951219512
ProximalPhalanxOutlineCorrect,0.893,0.753,0.687,0.742,0.46,0.423,0.423,0.615,0.677,0.344,0.865979381443299,0.7491408934707904,0.6597938144329897,0.6116838487972509,0.6013745704467354,0.5945017182130584,0.5945017182130584,0.6013745704467354,0.6597938144329897,0.7560137457044673,0.845360824742268,0.7491408934707904,0.6872852233676976,0.5189003436426117,0.6391752577319587,0.6082474226804123,0.6082474226804123,0.6151202749140894,0.5670103092783505,0.9415807560137456
ProximalPhalanxTW,0.815,0.541,0.083,0.317,0.473,0.522,0.522,0.107,0.429,0.034,0.7707317073170732,0.6536585365853659,0.2,0.3707317073170731,0.4536585365853658,0.1609756097560975,0.1609756097560975,0.3317073170731707,0.3268292682926829,0.0146341463414634,0.7853658536585366,0.5951219512195122,0.2,0.424390243902439,0.473170731707317,0.1170731707317073,0.1170731707317073,0.751219512195122,0.751219512195122,0.0878048780487804
RefrigerationDevices,0.579,0.563,0.355,0.435,0.12,0.115,0.115,0.344,0.336,0.136,0.5386666666666666,0.4453333333333333,0.5306666666666666,0.4373333333333333,0.4213333333333333,0.4266666666666667,0.4266666666666667,0.4453333333333333,0.4906666666666666,0.272,0.5306666666666666,0.4906666666666666,0.4986666666666666,0.584,0.2106666666666666,0.1733333333333333,0.1733333333333333,0.4373333333333333,0.4693333333333333,0.3493333333333333
ShapeletSim,0.533,0.483,0.5,0.433,0.272,0.183,0.183,0.506,0.472,0.272,0.4944444444444444,0.4611111111111111,0.5,0.5055555555555555,0.4722222222222222,0.3722222222222222,0.3722222222222222,0.5,0.5,0.4277777777777777,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
ShapesAll,0.745,0.517,0.237,0.433,0.22,0.153,0.745,0.248,0.152,0.082,0.7016666666666667,0.545,0.2033333333333333,0.4,0.205,0.13,0.7016666666666667,0.2733333333333333,0.1833333333333333,0.06,0.7033333333333334,0.42,0.17,0.335,0.1733333333333333,0.1716666666666666,0.7033333333333334,0.3583333333333333,0.165,0.0616666666666666
SmallKitchenAppliances,0.741,0.675,0.544,0.477,0.419,0.397,0.397,0.341,0.333,0.357,0.696,0.664,0.6106666666666667,0.4133333333333333,0.3546666666666667,0.3306666666666666,0.3306666666666666,0.3386666666666666,0.3386666666666666,0.2826666666666667,0.6933333333333334,0.64,0.5413333333333333,0.4853333333333333,0.3626666666666667,0.3173333333333333,0.3173333333333333,0.336,0.3333333333333333,0.2613333333333333
SmoothSubspace,0.993,0.76,0.593,0.607,0.553,0.493,0.493,0.5,0.487,0.373,0.9466666666666668,0.78,0.46,0.5733333333333334,0.44,0.38,0.38,0.64,0.7466666666666667,0.3066666666666666,0.9466666666666668,0.7133333333333334,0.48,0.5866666666666667,0.36,0.3133333333333333,0.3133333333333333,0.5333333333333333,0.5866666666666667,0.3333333333333333
SonyAIBORobotSurface1,0.827,0.767,0.657,0.431,0.15,0.083,0.827,0.571,0.571,0.002,0.7820299500831946,0.7720465890183028,0.4792013311148086,0.5008319467554077,0.1281198003327787,0.0366056572379367,0.7820299500831946,0.4775374376039933,0.5357737104825291,0.043261231281198,0.7870216306156406,0.7753743760399334,0.5590682196339434,0.610648918469218,0.1830282861896838,0.1314475873544093,0.7870216306156406,0.5241264559068219,0.5507487520798668,0.0
SonyAIBORobotSurface2,0.832,0.804,0.753,0.804,0.52,0.416,0.416,0.744,0.717,0.256,0.7838405036726128,0.7145855194123819,0.4889821615949632,0.8237145855194123,0.4994753410283316,0.279118572927597,0.279118572927597,0.7114375655823715,0.7219307450157397,0.1028331584470094,0.7943336831059811,0.7387198321091291,0.4868835257082896,0.4239244491080797,0.5110178384050367,0.2675760755508919,0.2675760755508919,0.7229800629590766,0.7313746065057712,0.2518363064008394
Strawberry,0.97,0.786,0.651,0.808,0.376,0.368,0.368,0.47,0.641,0.47,0.927027027027027,0.7216216216216216,0.6432432432432432,0.7594594594594595,0.5108108108108108,0.5108108108108108,0.5108108108108108,0.6432432432432432,0.6216216216216216,0.6432432432432432,0.927027027027027,0.7675675675675676,0.6432432432432432,0.6864864864864865,0.3243243243243243,0.3243243243243243,0.3243243243243243,0.6432432432432432,0.6432432432432432,0.4918918918918919
SwedishLeaf,0.898,0.387,0.154,0.381,0.237,0.176,0.176,0.141,0.128,0.019,0.8592,0.5616,0.1024,0.2832,0.1872,0.1968,0.1968,0.064,0.0464,0.0144,0.848,0.6,0.1568,0.36,0.1024,0.0816,0.0816,0.192,0.1216,0.0256
Symbols,0.88,0.748,0.411,0.628,0.514,0.316,0.88,0.392,0.359,0.156,0.8311557788944723,0.7085427135678392,0.3839195979899497,0.7256281407035176,0.4864321608040201,0.2311557788944723,0.8311557788944723,0.385929648241206,0.3869346733668342,0.2160804020100502,0.8442211055276382,0.6804020100502512,0.328643216080402,0.721608040201005,0.5949748743718593,0.3527638190954774,0.8442211055276382,0.5869346733668341,0.563819095477387,0.2663316582914573
SyntheticControl,1.0,0.893,0.783,0.867,0.64,0.62,0.62,0.537,0.547,0.387,0.95,0.8133333333333334,0.6233333333333333,0.8066666666666666,0.4733333333333333,0.4566666666666666,0.4566666666666666,0.56,0.5833333333333334,0.3833333333333333,0.9533333333333334,0.88,0.5433333333333333,0.7933333333333333,0.4666666666666667,0.3433333333333333,0.3433333333333333,0.45,0.4733333333333333,0.2566666666666666
ToeSegmentation1,0.741,0.689,0.548,0.759,0.197,0.175,0.175,0.513,0.526,0.171,0.7105263157894737,0.7412280701754386,0.6885964912280702,0.4122807017543859,0.1140350877192982,0.0482456140350877,0.0482456140350877,0.5043859649122807,0.4692982456140351,0.043859649122807,0.6973684210526315,0.7192982456140351,0.5657894736842105,0.7982456140350878,0.0482456140350877,0.0263157894736842,0.0263157894736842,0.5526315789473685,0.5657894736842105,0.0087719298245614
ToeSegmentation2,0.815,0.815,0.815,0.815,0.815,0.815,0.815,0.815,0.815,0.815,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154
Trace,1.0,0.86,0.33,0.63,0.5,0.69,0.69,0.31,0.19,0.32,0.97,0.9,0.58,0.92,0.86,0.84,0.84,0.48,0.41,0.28,0.99,0.71,0.48,0.65,0.58,0.44,0.44,0.41,0.23,0.18
TwoPatterns,1.0,0.989,0.588,0.691,0.294,0.019,0.019,0.201,0.234,0.003,0.96975,0.9665,0.52425,0.654,0.0715,0.00775,0.00775,0.254,0.27975,0.01725,0.968,0.95475,0.548,0.66725,0.1095,0.0075,0.0075,0.2265,0.297,0.02575
UMD,1.0,0.986,0.729,0.819,0.729,0.639,0.639,0.507,0.562,0.493,0.9722222222222222,0.9722222222222222,0.7708333333333334,0.8611111111111112,0.7013888888888888,0.7152777777777778,0.7152777777777778,0.5555555555555556,0.5138888888888888,0.4097222222222222,0.9652777777777778,0.8958333333333334,0.7638888888888888,0.9791666666666666,0.7569444444444444,0.5972222222222222,0.5972222222222222,0.6458333333333334,0.5,0.4375
Wine,0.5,0.537,0.5,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
WordSynonyms,0.602,0.429,0.212,0.373,0.132,0.067,0.067,0.245,0.182,0.041,0.5564263322884012,0.4686520376175548,0.3119122257053291,0.4717868338557994,0.1661442006269592,0.1551724137931034,0.1551724137931034,0.2225705329153605,0.2852664576802508,0.073667711598746,0.5579937304075235,0.4310344827586206,0.2993730407523511,0.438871473354232,0.1410658307210031,0.1238244514106583,0.1238244514106583,0.1363636363636363,0.128526645768025,0.0376175548589341
Worms,0.532,0.442,0.338,0.416,0.208,0.182,0.182,0.338,0.351,0.234,0.5064935064935064,0.4545454545454545,0.4155844155844156,0.4155844155844156,0.2207792207792207,0.1558441558441558,0.1558441558441558,0.4285714285714285,0.4155844155844156,0.2857142857142857,0.4935064935064935,0.4935064935064935,0.4415584415584415,0.4025974025974026,0.1298701298701298,0.1298701298701298,0.1298701298701298,0.3636363636363636,0.3376623376623376,0.1818181818181818
